Date,2011,2012,2013,2014,2015
January,359,357,495,412,485
February,324,334,447,372,438
March,375,361,465,442,485
April,345,353,436,432,469
May,368,365,451,446,485
June,404,315,569,457,469
July,435,299,657,485,485
August,433,299,657,485,485
September,346,357,478,469,469
October,357,422,424,485,485
November,346,408,409,469,469
December,357,488,412,485,-58
Totals:,4449,4359,5900,5438,5164
