Date,2011,2012,2013,2014,2015,2016,2017,2018
January,107777,109117,109582,108664,99481,99216,92638,88817
February,105383,110473,98032,96733,92002,90775,83980,83308
March,113136,109980,107506,107003,101952,99088,96655,94745
April,109962,101340,106052,103672,102460,102398,92196,91480
May,113648,112608,112458,110164,107326,106117,120704,108294
June,117221,109970,115136,111866,108332,105383,100999,106438
July,119465,118610,132643,117742,117825,107382,100498,108504
August,122614,126080,126571,111763,120904,106759,101640,104708
September,117136,118628,118080,109739,113004,101052,101914,94309
October,113141,113414,119439,110934,115316,100852,109249,101912
November,108130,107416,103904,105752,105581,95170,100499,94563
December,107326,103808,103434,99785,100189,93223,90119,91112
