Author,Title,Loans,Number of copies
"Hawkins, Paula",The Girl on the Train,175,13
"Child, Lee",Night School,171,14
"Child, Lee",Make me,167,18
"Cleeves, Ann",Dead Water,141,21
"Grisham, John",Rogue Lawyer,140,16
"Baldacci, David",The Guilty,139,12
"Cole, Martina",Get Even,119,18
"Karp, Marshall; Patterson, James",Nypd Red,118,26
"Cleeves, Ann",Cold Earth,118,12
"Connelly, Michael",The wrong side of goodbye : a novel,117,11
"Grisham, John",The Whistler : The Number One Bestseller,117,9
"Connelly, Michael",The Crossing,114,16
"Bradshaw, Rita",Snowflakes In The Wind,114,13
"Baldacci, David",No Man's Land,112,10
"Archer, Jeffrey",Cometh the Hour,110,14
"Beaton, M. C.",Death of a Nurse,108,10
"Child, Lee",Personal,105,10
"Coben, Harlan",Fool Me Once,105,11
"Archer, Jeffrey",This Was a Man,105,9
"La Plante, Lynda",Twisted,96,12
"Connelly, Michael",The Burning Room,96,13
"Rankin, Ian",Even Dogs in the Wild,96,12
"Rankin, Ian",Rather Be the Devil : The Brand New Rebus No.1 Bestseller,93,11
"Child, Lee",Never Go Back,92,14
"Cleeves, Ann",Thin Air,91,13
"McDermid, Val",Splinter the Silence,91,14
"Baldacci, David",The last mile,90,10
"Coben, Harlan",Home,90,8
"Binchy, Maeve",A Few of the Girls,89,9
"Paetro, Maxine; Patterson, James",14th Deadly Sin,88,11
"Cleeves, Ann",The Moth Catcher,88,12
"Beaton, M. C",Death of Yesterday,87,15
"Jacobs, Anna",Peppercorn Street,87,14
"Bradshaw, Rita",Colours Of Love,87,12
"Leather, Stephen",Takedown,87,11
"Baldacci, David",The fix,87,10
"Paetro, Maxine; Patterson, James",15th Affair,86,13
"Baldacci, David",The escape,85,9
"Robb, J. D.",Brotherhood in death,85,11
"Goodwin, Rosie",The Maid's Courage,85,11
"Child, Lee",Wanted Man,84,12
"Beaton, M. C",Agatha Raisin: Dishing the Dirt,84,9
"Roberts, Nora",The obsession,84,11
"La Plante, Lynda",Silent Victims,83,9
"Connelly, Michael",The Gods of Guilt,83,10
"Billingham, Mark",Time of Death,83,11
"Pearse, Lesley",Without a Trace,83,11
"Allen, Diane","Like Father, Like Son",83,10
"McDermid, Val",Out of Bounds,83,11
"Cole, Martina",Close,82,16
"Morton, Kate",The lake house,82,11
"Harris, Robert",Conclave,82,14
"Cornwell, Patricia Daniels",Chaos,81,11
"Kernick, Simon",The Bone Field,81,14
"James, Peter",You Are Dead,80,13
"Patterson, James; Roughan, Howard",Truth or die,80,11
"Cain, Tom; Smith, Wilbur A",Predator,80,10
"Jacobs, Anna",Honeyfield Bequest,80,11
"Cleeves, Ann",Harbour Street,79,11
"Ellis, Kate",The House of Eyes,79,12
"Barclay, Linwood",Far from True,79,11
"Ledwidge, Michael; Patterson, James",Bullseye,79,10
"Barclay, Linwood",The Twenty-three,79,8
"Cole, Martina",The Family,78,17
"Court, Dilly",Place Called Home,78,15
"Higgins, Jack",Rain on the dead,78,13
"Ledwidge, Michael; Patterson, James",Alert,78,12
"Moshfegh, Ottessa",Eileen,78,13
"Jacobs, Anna",Time To Rejoice,78,12
"Cole, Martina",The Life,77,16
"Ledwidge, Michael; Patterson, James",Burn,77,12
"Andrews, Lyn",From Liverpool With Love,77,12
"Robinson, Peter",When the Music's over : Dci Banks 23,77,9
"Ryan, Chris",Bad Soldier : Danny Black Thriller 4,77,9
"Archer, Jeffrey",Mightier Than the Sword,76,13
"Deaver, Jeffery",Solitude Creek,76,13
"Jewell, Lisa",The Girls,76,10
"Deaver, Jeffery",The steel kiss,76,11
"Patterson, James",Cross the line,76,8
"Goodwin, Rosie",Misfit,75,13
"Paetro, Maxine; Patterson, James",Private Vegas,75,12
"Nesbo, Jo",Blood on Snow,75,14
"La Plante, Lynda",Hidden Killers,75,8
"Billingham, Mark",Die of Shame : Includes Short Story Exclusive to Hardback,74,6
"Pearse, Lesley",Dead to Me,74,11
"Goodwin, Rosie",The Mill Girl,73,11
"Baldacci, David",Memory Man,73,8
"Slaughter, Karin",Pretty girls : a novel,73,12
"Patterson, James",Private Sydney,73,15
"Goodwin, Rosie",Dilly's Lass,73,12
"Goodwin, Rosie",Dilly's Hope,73,10
"Booth, Stephen",Secrets of Death,73,8
"Jacobs, Anna","Gifts for Our Time : Book Four in the the Gripping, Romantic and Uplifting Rivenshaw Saga Set at the Close of World War II",73,12
"Goodwin, Rosie",A Mother's Shame,72,10
"May, Peter",Coffin Road,72,10
"Leather, Stephen",First Response,72,10
"Baldacci, David",The forgotten,71,13
"Baldacci, David",King and Maxwell,71,9
"Brown, Benita",Counting The Days,71,14
"Jacobs, Anna",Time For Renewal,71,15
