Author,Title,Loans,Number of copies
"Child, Lee",The midnight line,234,18
"Child, Lee",Night School,204,17
"Grisham, John",Rogue Lawyer,157,17
"Cleeves, Ann",Dead Water,145,18
"Connelly, Michael",The Late Show,142,13
"Baldacci, David",End Game,136,15
"Cleeves, Ann",The Seagull,134,13
"Baldacci, David",The fix,133,13
"Thien, Madeleine",Do Not Say We Have Nothing,131,16
"Hawkins, Paula",The Girl on the Train,128,18
"Child, Lee",Make me,127,14
"Coben, Harlan",Don't Let Go,127,10
"Grisham, John",Camino Island,119,11
"Burton, Jessie",The Muse,116,18
"Higgins, Jack",The midnight bell,115,11
"Ross, L. J",Heavenfield,114,9
"Baldacci, David",The Guilty,112,11
"Billingham, Mark",Love Like Blood,112,10
"Ross, L. J",Angel A DCI Ryan Mystery,111,10
"Barclay, Linwood",Parting Shot,110,11
"Taylor, C. L",The Escape,110,8
"Ross, L. J",Sycamore Gap,109,9
"Gerritsen, Tess",I Know a Secret,109,10
"Dhand, A. A",Girl Zero,109,16
"Harris, Robert",Munich,108,10
"Cleeves, Ann",Cold Earth,106,12
"Born, James O; Patterson, James",Haunted,106,10
"Grisham, John",The Rooster Bar : The New York Times and Sunday Times Number One Bestseller,106,9
"May, Peter",Cast Iron Enzo Macleod 6,105,11
"Child, Lee",Wanted Man,104,13
"Smith, Ali",How to Be Both,104,23
"Kent, Christobel",The Day She Disappeared : From the Bestselling Author of the Loving Husband,104,13
"Healey, Emma",Elizabeth Is Missing,102,17
"Baldacci, David",The Last Mile,102,9
"Cox, Josephine",A Family Secret,102,14
"Jacobs, Anna",One Quiet Woman,101,10
"Fox, Candice; Patterson, James",Fifty Fifty,101,12
"Ross, L. J",Cragside,101,10
"McDermid, Val",Insidious Intent,100,11
"Cole, Martina",Damaged,100,12
"Jewell, Lisa",The Girls,98,12
"Nesbo, Jo",The Thirst,98,7
"Goodwin, Rosie",The Little Angel : A Heart-warming Saga from the Sunday Times Bestseller,98,11
"Dazieri, Sandrone",Kill the Father : The Italian Publishing Sensation,97,18
"Robb, J. D.",Secrets in death,97,13
"Perry, Sarah",The Essex Serpent,96,9
"Robinson, Peter",Sleeping in the Ground : Dci Banks 24,96,9
"Ross, Lj",Holy Island : A Dci Ryan Mystery,95,10
"Patterson, James",Murder Games,95,11
"Bradshaw, Rita",A Winter Love Song,95,9
"Lapena, Shari",A Stranger in the House : From the Author of the Couple Next Door,95,13
"Lapena, Shari",The Couple Next Door,94,8
"Smith, Ali",Autumn : Shortlisted for the Man Booker Prize 2017,94,7
"Court, Dilly",The Button Box : Gripping Historical Romance from the Sunday Times Bestseller,94,11
"Harper, Tom; Smith, Wilbur A",The Tiger's Prey,94,8
"Kendal, Claire",The Second Sister : The Exciting New Psychological Thriller from Sunday Times Bestselling Author Claire Kendal,93,8
"Child, Lee",No Middle Name : The Complete Collected Jack Reacher Stories,92,8
"Cole, Martina",Family,91,17
"Slaughter, Karin",The Good Daughter : The Best Thriller You Will Read This Year,91,10
"Jeffries, Sheila",Born to Be Trouble,91,9
"Child, Lee",Personal,90,11
"Robinson, Peter",When the Music's over : Dci Banks 23,90,12
"Hawkins, Paula",Into the Water : The Sunday Times Bestseller,90,9
"Patterson, James",The Store,90,11
"Monroe, J. S",Find Me,90,8
"Patterson, James",The 17th suspect,90,12
"Barclay, Linwood",The Twenty-three,89,11
"Leather, Stephen",Takedown,89,12
"Kernick, Simon",The Hanged Man,89,11
"Bradford, Barbara Taylor",Secrets of Cavendon : A Gripping Historical Saga Full of Intrigue and Drama,89,10
"Grisham, John",The Whistler : The Number One Bestseller,88,12
"Hilary, Sarah",Quieter Than Killing,88,8
"Rankin, Ian",Even Dogs in the Wild,86,11
"Booth, Stephen",Dead in the Dark,86,8
"Archer, Jeffrey",Tell Tale,85,12
"Cole, Martina",Graft,84,12
"Cleeves, Ann",The Moth Catcher,84,10
"Connelly, Michael",The wrong side of goodbye : a novel,84,9
"Trollope, Joanna",City of Friends,84,10
"Koomson, Dorothy",The Friend,84,13
"Beaton, M. C",Death of Yesterday,83,12
"Cole, Martina",Get Even,83,16
"Ellis, David; Patterson, James",The Black Book,83,10
"Brown, Dan",Origin : a novel,83,10
"Styles, Daisy",The Bomb Girls' Secrets,83,9
"MacBride, Stuart",Now We Are Dead,83,9
"Maden, Mike",Tom Clancy's Point of Contact : Inspiration for the Thrilling Amazon Prime Series Jack Ryan,82,9
"Cornwell, Bernard",Fools and mortals : a novel,82,9
"Steel, Danielle",The Mistress,81,13
"Roberts, Nora",Come Sundown,81,11
"Cleeves, Ann",Thin Air,80,11
"Gale, Patrick",A Place Called Winter: Costa Shortlisted 2015,80,12
"Higgins, Jack",Rain on the dead,80,12
"Ledwidge, Michael; Patterson, James",Alert,80,13
"Osmond, Hazel",The Mysterious Miss Mayhew,80,13
"Clark, Mary Higgins",As Time Goes by,80,14
"La Plante, Lynda",Good Friday,80,8
"Kavanagh, Emma",The Killer on the Wall,80,8
"Nesbo, Jo",Macbeth,80,9
"James, Peter",You Are Dead,79,11
