Author,Title,Loans,Number of copies
"Dahl, Roald",Esio Trot,135,31
"Rowling, J. K",Harry Potter and the Philosopher's Stone,113,25
"Kinney, Jeff",Diary of a wimpy kid : old school 10,111,15
"Kinney, Jeff",Diary of a wimpy kid : the long haul,101,15
"Walliams, David",Demon Dentist,100,21
"Rowling, J. K",Harry Potter and the Goblet of Fire,99,28
"Rowling, J. K",Harry Potter and the Prisoner of Azkaban,94,27
"Dahl, Roald",Matilda,94,19
"Rowling, J. K",Harry Potter and the Chamber of Secrets,92,31
"Rowling, J. K",Harry Potter and the Deathly Hallows,89,31
"Rowling, J. K",Harry Potter and the Half-blood Prince,87,28
"Sendak, Maurice",Where the Wild Things Are,85,33
"Walliams, David",Grandpa's Great Escape,83,16
"Dahl, Roald",The Twits,81,18
"Pichon, Liz",Top of the Class (Nearly),80,12
"Dahl, Roald",The giraffe and the pelly and me,78,15
"Waddell, Martin","Can't You Sleep, Little Bear?",75,32
"Walliams, David",Gangsta Granny,75,19
"Dahl, Roald",Charlie and the Great Glass Elevator,73,15
"Dahl, Roald",James and the giant peach,72,14
"Dahl, Roald",The Witches,71,10
"Walliams, David",Billionaire Boy,71,16
"Rowling, J. K",Harry Potter and the Order of the Phoenix,70,26
"Vulliamy, Clara",Dotty Detective,70,26
"Dahl, Roald",The magic finger,69,15
"Pichon, Liz",Tom Gates: Dogzombies Rule (For Now),68,13
"Simon, Francesca","Don't be Horrid, Henry!",67,16
"Wilson, Jacqueline",Rent a Bridesmaid,67,10
"Pichon, Liz",Yes! No (Maybe...),66,13
"Walliams, David",Awful Auntie,64,19
"Vulliamy, Clara",The Pawprint Puzzle,64,27
"Ahlberg, Allan",Mrs. Plug the Plumber,63,36
"Dahl, Roald",George's Marvellous Medicine,63,12
"Pichon, Liz",Tom Gates Extra Special Treats,63,13
"Dahl, Roald",Fantastic Mr. Fox,62,17
"Simon, Francesca",Horrid Henry Early Reader: Horrid Henry and the Comfy Black Chair : Book 31,62,12
"Wilson, Jacqueline",Little Stars,62,14
"McKee, David",Elmer and the Rainbow,61,15
"Pichon, Liz",Genius Ideas (Mostly),59,7
"Cassidy, Cathy",Broken Heart Club,59,12
"Simon, Francesca",Horrid Henry Early Reader: Horrid Henry's Swimming Lesson,59,11
"Walliams, David",Mr Stink,58,13
"Russell, Rachel Renee",Dork Diaries,58,8
"Pichon, Liz",Tiny Bit Lucky,58,12
"Dahl, Roald",The Enormous Crocodile,57,17
"McKee, David",Elmer's Special Day,55,10
"Sharratt, Nick (COR); Wilson, Jacqueline (COR)",Queenie : What'll Look After Elsie When She's Left All Alone,55,15
"Walliams, David",Ratburger,54,17
"McKee, David",Elmer and the Race,54,8
"Meadows, Daisy",Rainbow Magic Beginner Reader: the Fairyland Costume Ball : Book 5,52,6
"Hill, Eric",Spot's first Easter,51,8
"French, Vivian",Oliver's vegetables,51,11
"Walliams, David",The Midnight Gang,51,6
"Donaldson, Julia",Spinderella,50,8
"Pichon, Liz",The Brilliant World of Tom Gates,50,6
"Wilson, Jacqueline",The Butterfly Club,50,10
"Wilson, Jacqueline",Katy,50,15
"Donaldson, Jane",Gruffalo,49,24
"Meadows, Daisy",Rainbow Magic: Tiana the Toy Fairy : Toys Andme Special Edition,49,5
"Donaldson, Julia",Mr Birdsnest and the House Next Door,48,11
"Pilkey, Dav",Captain Underpants and the revolting revenge of the radioactive robo-boxers : the tenth epic novel,47,11
"Donbavand, Tommy",Operation: Golden Bum,47,26
"Simon, Francesca",Horrid Henry's Cannibal Curse : Book 24,47,10
"Kinney, Jeff",Diary of a Wimpy Kid: Double Down (Diary of a Wimpy Kid Book 11),47,5
"Bush, John",Mr Crookodile,46,7
"Meadows, Daisy",Rainbow Magic: My Rainbow Magic Storybook Collection,46,5
"Browne, Anthony",Willy's Stories,45,12
"Meadows, Daisy",Magic Animal Friends: Millie Picklesnout's Wild Ride : Book 19,45,6
"Wilson, Jacqueline",Clover Moon,44,10
"Kinney, Jeff",Cabin Fever,43,11
"Bass, Guy",The Legend of Frog,43,19
"Meadows, Daisy",Rainbow Magic: Esther the Kindness Fairy : The Friendship Fairies Book 1,43,6
"Dahl, Roald",Danny the Champion of the World,42,12
"Walliams, David",The World's Worst Children,42,7
"Klassen, Jon",I Want My Hat Back,41,9
"Wilson, Jacqueline",Opal Plumstead,41,10
"Meadows, Daisy",Magic Animal Friends: Pippa Hoppytail's Rocky Road : Book 21,41,6
"Pilkey, Dav",Captain Underpants and the preposterous plight of the Purple Potty People : the eighth epic novel,40,9
"Pichon, Liz",Excellent Excuses (And Other Good Stuff),40,8
"Cole, Steve",Early Reader: Monstar and the Haunted House,40,9
"Rowling, J. K",Fantastic Beasts & Where to Find Them : Newt Scamander,40,4
"Hughes, Shirley",Alfie gets in first,39,30
"Wilson, Jacqueline",Hetty Feather,39,12
"Wilson, Jacqueline",Sapphire Battersea,39,12
"Adamson, Gareth; Adamson, Jean",Topsy and Tim Go to the Hospital,39,4
"Donaldson, Julia",Swallows and spiders : two stories in one,39,10
"Pilkey, Dav",Captain Underpants and the Sensational Saga of Sir Stinks-a-lot,39,10
"Simon, Francesca",Horrid Henry,38,9
"Hedderwick, Mairi",Katie Morag and the riddles,38,8
"Meadows, Daisy",Rainbow Magic: Catherine the Fashion Princess Fairy : Special,38,6
"Clary, Julian",The Bolds to the Rescue,38,15
"Meadows, Daisy",Rainbow Magic: Susie the Sister Fairy : Special,38,9
"Meadows, Daisy",Magic Animal Friends: Sarah Scramblepaw's Big Step : Book 24,38,6
