Author,Title,Loans,Number of copies
"Chichester Clark, Emma","I love you, Blue Kangaroo!",142,37
"Seuss, Dr.",Dr. Seuss - Yellow Back Book,127,24
"Cousins, Lucy",Maisy goes to the library,124,32
"Hayes, Sarah",This is the Bear,119,36
"Waddell, Martin",Owl Babies,119,25
"Kinney, Jeff",Diary of a Wimpy Kid 9 The Long Haul,118,17
"McKee, David","Not Now, Bernard",115,32
"Jeffers, Oliver",Stuck,112,23
"Dahl, Roald",Esio Trot,108,31
"Hughes, Shirley",Dogger,105,39
"Kinney, Jeff",Diary of a wimpy kid : old school 10,105,10
"Donaldson, Julia",The Highway Rat,104,22
"Sendak, Maurice",Where the Wild Things Are,102,27
"Donaldson, Julia",What the Ladybird Heard Next,100,14
"Seuss, Dr",Dr. Seuss - Green Back Book,97,19
"Cousins, Lucy",Maisy learns to swim,92,13
"Nicoll, Helen; Pienkowski, Jan",Meg and Mog,90,13
"Dahl, Roald",The Twits,86,22
"Donaldson, Jane",Gruffalo,84,26
"Walliams, David",Awful Auntie,83,20
"Carle, Eric",The Very Hungry Caterpillar,82,19
"Donaldson, Julia",Jack and the Flumflum Tree,81,19
"Dahl, Roald",Fantastic Mr. Fox,81,24
"Waddell, Martin","Can't You Sleep, Little Bear?",80,33
"Bently, Peter",King Jack and the Dragon,80,21
"Hughes, Shirley",Alfie gets in first,79,37
"Rowling, J. K",Harry Potter and the Half-blood Prince,79,18
"Kinney, Jeff",Diary of a wimpy kid : hard luck 8,77,12
"Walliams, David",Gangsta Granny,76,22
"Rowling, J. K",Harry Potter and the Philosopher's Stone,76,16
"Dahl, Roald",Matilda,76,27
"Donaldson, Julia",Sugarlump and the Unicorn,73,13
"Sharratt, Nick (COR); Wilson, Jacqueline (COR)",Queenie : What'll Look After Elsie When She's Left All Alone,73,15
"Alborough, Jez",Six Little Chicks,72,17
"Inkpen, Mick",Kipper's little friends,72,10
"Pichon, Liz",Yes! No (Maybe...),72,10
"Rowling, J. K",Harry Potter and the Prisoner of Azkaban,72,17
"Walliams, David",Demon Dentist,71,16
"Wilson, Jacqueline",The Butterfly Club,70,12
"Rowling, J. K",Harry Potter and the Deathly Hallows,70,21
"Ahlberg, Allan",Mrs. Plug the Plumber,69,39
"Donaldson, Julia",Superworm,69,15
"Dahl, Roald",The Enormous Crocodile,69,21
"Wilson, Jacqueline",Katy,69,12
"Dahl, Roald",Charlie and the Great Glass Elevator,69,18
"Walliams, David",Grandpa's Great Escape,69,8
"Pichon, Liz",Tiny Bit Lucky,65,15
"Dahl, Roald",The magic finger,65,17
"Gliori, Debi",The trouble with dragons,64,19
"Kinney, Jeff",The Ugly Truth,64,9
