,open morning,close lunchtime,open lunchtime,close evening
Local Studies,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,20:00
Wednesday,09:00,,,20:00
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,,,12:00,16:00
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Tourist Information Centre,,,,
Monday,09:30,,,17:30
Tuesday,09:30,,,17:30
Wednesday,09:30,,,17:30
Thursday,09:30,,,17:30
Friday,09:30,,,17:30
Saturday,09:00,,,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
City/High Heaton Mobile,,,,
Monday,,,,
Tuesday,,,,
Wednesday,09:30,,,18:00
Thursday,09:30,,,18:00
Friday,,,,
Saturday,,,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Mobile - see full 2 week timetable for all stops and travel time,,,,
Monday,09:45,,,19:30
Tuesday,10:00,,,16:30
Wednesday,,,,
Thursday,09:45,,,19:30
Friday,09:45,,,16:30
Saturday,09:30,,,16:30
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
City Library,,,,
Monday,,,,
Tuesday,,,,
Wednesday,,,,
Thursday,,,,
Friday,,,,
Saturday,,,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
West End Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,17:00
Wednesday,09:00,,,17:00
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Blakelaw Library,,,,
Monday,,,14:00,19:00
Tuesday,09:30,13:00,,
Wednesday,,,,
Thursday,,,14:00,19:00
Friday,,,13:30,17:00
Saturday,10:00,13:00,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Cruddas Park Library,,,,
Monday,09:30,12:00,,
Tuesday,09:30,12:00,13:00,16:30
Wednesday,,,,
Thursday,09:30,12:00,13:00,16:30
Friday,09:30,12:00,,
Saturday,09:30,12:30,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Denton Burn Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,17:00
Wednesday,,,,
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Dinnington Library,,,,
Monday,,,14:00,17:00
Tuesday,,,,
Wednesday,10:00,13:00,,
Thursday,,,,
Friday,,,14:00,17:00
Saturday,10:00,13:00,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
East End Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,20:00
Wednesday,09:00,,,20:00
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,10:00,14:00,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Fawdon Library,,,,
Monday,09:00,,,19:30
Tuesday,09:00,,,19:30
Wednesday,09:00,,,19:30
Thursday,09:00,,,19:30
Friday,09:00,,,19:30
Saturday,09:00,12:00,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Fenham Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,20:00
Wednesday,09:00,,,20:00
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,10:00,14:00,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Gosforth Library,,,,
Monday,08:30,,,20:00
Tuesday,08:30,,,20:00
Wednesday,08:30,,,20:00
Thursday,08:30,,,20:00
Friday,08:30,,,17:00
Saturday,09:00,,,17:00
Sunday,10:00,14:00,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
High Heaton Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,17:00
Wednesday,,,,
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Jesmond Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,20:00
Wednesday,09:00,,,20:00
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,10:00,14:00,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Kenton Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,17:00
Wednesday,09:00,,,17:00
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Moorside Library,,,,
Monday,,,,
Tuesday,09:30,12:30,14:00,17:00
Wednesday,,,,
Thursday,,,14:00,19:00
Friday,09:30,12:30,14:00,17:00
Saturday,09:30,12:30,,
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Newbiggin Hall Library,,,,
Monday,09:30,12:30,13:30,20:00
Tuesday,09:30,12:30,13:30,17:00
Wednesday,,,,
Thursday,09:30,12:30,13:30,20:00
Friday,09:30,12:30,13:30,17:00
Saturday,09:00,13:00,14:15,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Newburn Library,,,,
Monday,09:30,12:30,13:30,20:00
Tuesday,09:30,12:30,13:30,17:00
Wednesday,,,,
Thursday,09:30,12:30,13:30,20:00
Friday,09:30,12:30,13:30,17:00
Saturday,09:00,13:00,14:15,17:00
Sunday,,,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Outer West Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,17:00
Wednesday,09:00,,,17:00
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,10:00,14:00,,
,,,,
,,,,
,open morning,close lunchtime,open lunchtime,close evening
Walker Library,,,,
Monday,09:00,,,20:00
Tuesday,09:00,,,17:00
Wednesday,,,,
Thursday,09:00,,,20:00
Friday,09:00,,,17:00
Saturday,09:00,,,17:00
Sunday,,,,
